timestamp,trial_number,system,duration_ms,duration_s,first_system,is_first_trial,order_position
2025-11-06T12:59:54.469Z,1,text,8931,8.931,text,True,first
2025-11-06T12:59:54.469Z,2,coloured,8554,8.554,text,False,second
2025-11-06T13:06:56.931Z,1,text,15191,15.191,text,True,first
2025-11-06T13:06:56.931Z,2,coloured,8033,8.033,text,False,second
2025-11-06T13:12:42.187Z,1,coloured,12518,12.518,coloured,True,first
2025-11-06T13:12:42.187Z,2,text,13472,13.472,coloured,False,second
2025-11-06T13:14:21.617Z,1,coloured,8352,8.352,coloured,True,first
2025-11-06T13:14:21.617Z,2,text,5934,5.934,coloured,False,second
2025-11-06T13:19:09.331Z,1,text,8989,8.989,text,True,first
2025-11-06T13:19:09.331Z,2,coloured,14300,14.3,text,False,second
2025-11-06T13:23:46.306Z,1,text,25060,25.06,text,True,first
2025-11-06T13:23:46.306Z,2,coloured,21329,21.329,text,False,second
2025-11-06T13:30:20.041Z,1,text,7886,7.886,text,True,first
2025-11-06T13:30:20.041Z,2,coloured,7932,7.932,text,False,second
2025-11-06T13:35:43.439Z,1,coloured,10444,10.444,coloured,True,first
2025-11-06T13:35:43.439Z,2,text,7587,7.587,coloured,False,second
2025-11-06T13:40:26.767Z,1,coloured,12153,12.153,coloured,True,first
2025-11-06T13:40:26.767Z,2,text,9536,9.536,coloured,False,second
2025-11-06T13:45:11.424Z,1,text,18155,18.155,text,True,first
2025-11-06T13:45:11.424Z,2,coloured,14117,14.117,text,False,second
2025-11-06T13:46:58.058Z,1,coloured,9890,9.89,coloured,True,first
2025-11-06T13:46:58.058Z,2,text,6369,6.369,coloured,False,second
2025-11-06T13:53:15.171Z,1,text,9838,9.838,text,True,first
2025-11-06T13:53:15.171Z,2,coloured,7896,7.896,text,False,second
2025-11-06T13:54:53.222Z,1,text,11940,11.94,text,True,first
2025-11-06T13:54:53.222Z,2,coloured,8355,8.355,text,False,second
2025-11-06T13:59:24.796Z,1,coloured,8128,8.128,coloured,True,first
2025-11-06T13:59:24.796Z,2,text,5793,5.793,coloured,False,second
2025-11-06T14:03:06.145Z,1,coloured,11134,11.134,coloured,True,first
2025-11-06T14:03:06.145Z,2,text,8456,8.456,coloured,False,second
2025-11-06T14:06:29.368Z,1,coloured,5964,5.964,coloured,True,first
2025-11-06T14:06:29.368Z,2,text,7161,7.161,coloured,False,second
2025-11-06T14:12:41.601Z,1,text,7470,7.47,text,True,first
2025-11-06T14:12:41.601Z,2,coloured,6456,6.456,text,False,second
2025-11-06T14:16:34.349Z,1,coloured,10707,10.707,coloured,True,first
2025-11-06T14:16:34.349Z,2,text,15971,15.971,coloured,False,second
2025-11-06T14:20:27.221Z,1,text,17942,17.942,text,True,first
2025-11-06T14:20:27.221Z,2,coloured,13638,13.638,text,False,second
2025-11-06T14:22:59.121Z,1,coloured,7021,7.021,coloured,True,first
2025-11-06T14:22:59.121Z,2,text,12436,12.436,coloured,False,second
2025-11-06T14:26:39.780Z,1,coloured,7174,7.174,coloured,True,first
2025-11-06T14:26:39.780Z,2,text,3866,3.866,coloured,False,second
2025-11-06T14:30:41.963Z,1,text,6690,6.69,text,True,first
2025-11-06T14:30:41.963Z,2,coloured,5540,5.54,text,False,second
2025-11-06T14:40:34.664Z,1,coloured,15844,15.844,coloured,True,first
2025-11-06T14:40:34.664Z,2,text,15566,15.566,coloured,False,second
2025-11-06T14:43:49.668Z,1,text,21413,21.413,text,True,first
2025-11-06T14:43:49.668Z,2,coloured,13807,13.807,text,False,second
2025-11-06T14:46:50.980Z,1,coloured,23864,23.864,coloured,True,first
2025-11-06T14:46:50.980Z,2,text,9141,9.141,coloured,False,second
2025-11-06T14:49:53.978Z,1,text,9701,9.701,text,True,first
2025-11-06T14:49:53.978Z,2,coloured,3594,3.594,text,False,second
2025-11-06T14:53:32.886Z,1,text,16453,16.453,text,True,first
2025-11-06T14:53:32.886Z,2,coloured,5432,5.432,text,False,second
2025-11-06T14:55:56.513Z,1,coloured,7778,7.778,coloured,True,first
2025-11-06T14:55:56.513Z,2,text,11958,11.958,coloured,False,second
2025-11-06T14:56:43.879Z,1,coloured,3981,3.981,coloured,True,first
2025-11-06T14:56:43.879Z,2,text,3667,3.667,coloured,False,second
2025-11-06T14:57:04.517Z,1,text,9694,9.694,text,True,first
2025-11-06T14:57:04.517Z,2,coloured,4704,4.704,text,False,second
2025-11-06T14:59:27.576Z,1,coloured,17060,17.06,coloured,True,first
2025-11-06T14:59:27.576Z,2,text,10652,10.652,coloured,False,second
2025-11-06T15:03:52.941Z,1,text,13805,13.805,text,True,first
2025-11-06T15:03:52.941Z,2,coloured,8857,8.857,text,False,second
2025-11-06T15:08:45.084Z,1,text,10639,10.639,text,True,first
2025-11-06T15:08:45.084Z,2,coloured,5833,5.833,text,False,second
